id,file_name,source_path,jurisdiction,authority,title,relevant_law,gdpr_articles,type,outcome,started,decided,published,fine,fine_amount,fine_currency,parties,national_case_number_name,european_case_law_identifier,original_languages,original_source,sector_type,sector_type_confidence,sector_core_activity,sector_core_activity_confidence,sector_size,sector_size_confidence
IT_18,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10028498.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10028498.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10028498,Article 5(1)(f) GDPRArticle 5(1)(a) GDPRArticle 5(2) GDPRArticle 12(1) GDPRArticle 13 GDPRArticle 13(2)(a) GDPRArticle 25(1) GDPRArticle 28(3) GDPRArticle 28(9) GDPRArticle 32 GDPRArticle 35(1) GDPR,"5,12,13,25,28,32,35",Investigation,Violation Found,,20/06/2024,,"15,000 EUR",15000,EUR,Comune di Forlì,10028498,n/a,Italian,Garante per la protezione dei dati personali (in IT),,,,,,
IT_19,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10029424.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10029424.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10029424,Article 5(1)(f) GDPRArticle 5(1)(a) GDPRArticle 5(2) GDPRArticle 6(1)(a) GDPRArticle 24 GDPRArticle 25 GDPRArticle 28 GDPRArticle 1(5) Legge 5/2018Article 130 d.lgs. 196/2003,"5,24,25,28",Complaint,Upheld,28/12/2023,06/06/2024,,"6,419,631 EUR",6419631,EUR,Eni Plenitude S.p.A. Società Benefit,10029424,n/a,Italian,Garante per la protezione dei dati personali (in IT),,,,,,
IT_20,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10029500.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10029500.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10029500,Article 4(14) GDPRArticle 5(1)(a) GDPRArticle 5(1)(c) GDPRArticle 5(1)(e) GDPRArticle 9(1) GDPRArticle 9(2)(b) GDPR,"4,9",Complaint,Upheld,,06/06/2024,,"120,000 EUR",120000,EUR,Cappello Giovanni & Figli s.r.l.,10029500,n/a,Italian,Garante per la protezione dei dati personali (in IT),,,,,,
IT_21,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10036837.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10036837.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10036837,Article 5(1)(d) GDPRArticle 12(3) GDPRArticle 16 GDPR,"12,16",Complaint,Upheld,,23/05/2024,,"4,500 EUR",4500,EUR,Azienda Socio-sanitaria Territoriale Rhodense,10036837,n/a,Italian,Garante per la protezione dei dati personali (in IT),,,,,,
IT_22,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10037439.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10037439.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10037439,Article 5(1)(f) GDPRArticle 9(1) GDPR,9,Investigation,Violation Found,,23/05/2024,,"8,400",8400,,Azienda Sanitaria Locale TO4,10037439,n/a,Italian,Garante per la protezione dei dati personali (in IT),,,,,,
IT_23,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10037819.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10037819.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10037819,Article 5(1)(a) GDPRArticle 6 GDPRArticle 57(1)(f) GDPRArticle 58(2)(b) GDPRArticle 77 GDPRArticle 78 GDPR,"6,77,78",Complaint,Other Outcome,,,06/06/2024,n/a,,,Ministero dell'Interno,10037819,n/a,Italian,Garante per la protezione dei dati personali (in IT),,,,,,
IT_24,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10037849.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10037849.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10037849,Article 5(1)(a) GDPRArticle 6 GDPRArticle 9 GDPRArticle 57(1)(f) GDPRArticle 58(2)(b) GDPRArticle 83(2) GDPRArticle 88(2) GDPR,"6,9,83,88",Complaint,Other Outcome,,06/06/2024,,n/a,,,Ministero delle Infrastrutture e dei Trasporti,10037849,n/a,Italian,Garante per la protezione dei dati personali (in IT),,,,,,
IT_25,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10039453.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10039453.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10039453,Article 5(1)(c) GDPRArticle 5(1)(f) GDPRArticle 9(1) GDPRArticle 9(2)(h) GDPRArticle 9(4) GDPRArticle 32(1) GDPRArt. 75 d.lgs. 196/2003,"9,32",Complaint,Upheld,,06/06/2024,,"24,000 EUR",24000,EUR,Azienda Unità Sanitaria Locale della Romagna,10039453,n/a,Italian,Garante per la protezione dei dati personali (in IT),,,,,,
IT_26,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10039471.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10039471.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10039471,Article 5(1) GDPRArticle 6(1) GDPRArticle 6(1)(c) GDPRArticle 28(3) GDPRArt. 19(1) d.lgs. 33/2013Art. 8(3) d.lgs. 33/2013,"5,6,28",Complaint,Upheld,,20/06/2024,,"20,000 EUR",20000,EUR,Comune di Nepi,10039471,n/a,Italian,Garante per la protezione dei dati personali (in IT),,,,,,
IT_27,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10039570.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10039570.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10039570,Article 5(1)(a) GDPRArticle 5(1)(c) GDPRArticle 6 GDPRArt. 2-ter(3) d.lgs. 196/2003,6,Complaint,Partly Upheld,,20/06/2024,,n/a,,,Comune di Torri del Benaco,10039570,n/a,Italian,Garante per la protezione dei dati personali (in IT),,,,,,
IT_28,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10039592.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10039592.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10039592,Article 6(1)(c) GDPRArticle 6(1)(e) GDPRArticle 6(2) GDPRArt. 2-sexies d.lgs. 196/2003Art. 2-ter(1) d.lgs. 196/2003Art. 2-ter(3) d.lgs. 196/2003Art. 2-ter(4)(a) d.lgs. 196/2003,6,Complaint,Upheld,,04/07/2024,,n/a,,,"Istituto Statale ""Duca degli Abruzzi""",10039592,n/a,Italian,Garante per la protezione dei dati personali (in IT),,,,,,
IT_29,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10040382.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10040382.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10040382,Article 12(1) GDPRArticle 12(3) GDPRArticle 13 GDPRArt. 1(5) legge 5/2018Art. 1(6) legge 5/2018Art. 130(3-bis) d.lgs. 196/2003Art. 130(4) d.lgs. 196/2003,"12,13",Complaint,Upheld,,20/06/2024,,"1,000,000 EUR",1000000,EUR,Fastweb S.p.A.,10040382,n/a,Italian,Garante per la protezione dei dati personali (in IT),,,,,,
IT_30,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10043007.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10043007.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10043007,Article 5(1)(a) GDPRArticle 28(3) GDPRArt. 30-ter(5)(a) d.lgs. 141/2010Art. 30-ter(7-bis) d.lgs. 141/2010,28,Complaint,Upheld,25/03/2021,06/06/2024,,"1,000,000 EUR",1000000,EUR,CA Autobank S.p.A.,10043007,n/a,Italian,Garante per la protezione dei dati personali (in IT),,,,,,
IT_31,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10043600.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10043600.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10043600,Article 12(3) GDPRArticle 15 GDPRArticle 15(4) GDPR,"12,15",Complaint,Upheld,06/04/2022,20/06/2024,,"10,000 EUR",10000,EUR,TS Food Processing s.r.l.,10043600,n/a,Italian,Garante per la protezione dei dati personali (in IT),,,,,,
IT_32,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10050145.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10050145.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10050145,Article 5(1)(a) GDPRArticle 6(1)(c) GDPRArticle 6(1)(e) GDPRArticle 12(3) GDPRArticle 17 GDPRArt. 19(1) d.lgs. 33/2013,"12,17",Complaint,Upheld,,04/07/2024,,"4,000 EUR",4000,EUR,Comune di Villasimius,10050145,n/a,Italian,Garante per la protezione dei dati personali (in IT),,,,,,
IT_33,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10050298.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10050298.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10050298,Article 5(2) GDPRArticle 24(1) GDPRArticle 25(1) GDPRArticle 25(2) GDPRArticle 28(3) GDPR,"5,24,25,28",Investigation,Violation Found,,04/07/2024,,"7,000 EUR",7000,EUR,Comune di Treviso,10050298,n/a,Italian,Garante per la protezione dei dati personali (in IT),,,,,,
IT_34,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10052798.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10052798.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10052798,Article 5(1)(a) GDPRArticle 5(1)(c) GDPRArticle 58(2) GDPRArticle 83 GDPRArticle 137Article 50Article 52,"58,83",Complaint,Upheld,27/06/2023,13/09/2024,13/09/2024,"10,000 EUR",10000,EUR,Nomodidattica S.r.l. (owner of the Moltocomuni website),10052798,n/a,Italian,Garante (in IT),,,,,,
IT_35,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10053211.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10053211.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10053211,Article 5(2) GDPRArticle 12(3) GDPRArticle 15 GDPRArticle 24 GDPRArticle 28(1) GDPRArticle 32 GDPR,"5,12,15,24,28,32",Complaint,Upheld,,17/07/2024,,"5,000,000 EUR",5000000,EUR,Hera Comm S.p.A.,10053211,n/a,Italian,Garante per la protezione dei dati personali (in IT),,,,,,
IT_36,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10053224.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10053224.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10053224,Article 5(1)(a) GDPRArticle 5(1)(c) GDPRArticle 5(1)(e) GDPRArticle 13 GDPRArticle 88 GDPRArticle 114 of Italian Data Protection Code (Codice in materia di protezione dei dati personali),"13,88",Complaint,Upheld,,17/07/2024,,"80,000 EUR",80000,EUR,Selectra S.p.A.,10053224,n/a,Italian,Garante per la protezione dei dati personali (Italy) (in IT),,,,,,
IT_37,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10057346.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10057346.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10057346,Article 9 GDPRArticle 32(1) GDPRArticle 32(2) GDPRArticle 33 GDPR,"9,32,33",Investigation,Violation Found,,17/07/2024,,n/a,,,n/a,10057346,n/a,Italian,Garante per la Protezione dei Dati Personali (in IT),,,,,,
IT_38,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10057629.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10057629.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10057629,Article 5(1)(e) GDPRArticle 5(1)(a) GDPRArticle 5(2) GDPRArticle 9(2)(j) GDPRArticle 13 GDPRArticle 14(5)(b) GDPRArticle 25 GDPRArticle 35 GDPR,"5,13,25,35",Investigation,Violation Found,,,17/07/2024,"10,000 EUR",10000,EUR,"Istituto Tumori ""Giovanni Paolo II"" IRCCS",10057629,n/a,Italian,Garante per la protezione dei dati personali (in IT),,,,,,
IT_39,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10057648.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10057648.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10057648,Article 5 GDPRArticle 25 GDPRArticle 32 GDPRArticle 33 GDPRArticle 34 GDPR,"5,25,32,33,34",Investigation,Violation Found,01/04/2020,17/07/2024,17/07/2024,n/a,,,Istituto Nazionale Previdenza Sociale,10057648,n/a,Italian,Garante (in IT),,,,,,
IT_40,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10058595.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10058595.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10058595,Article 5(1)(f) GDPRArticle 32 GDPRArticle 33(1) GDPRArticle 34(1) GDPR,"32,33,34",Investigation,Violation Found,,17/07/2024,,"22,000 EUR",22000,EUR,Azienda ULSS 6 Euganea,10058595,n/a,Italian,Garante per la protezione dei dati personali (in IT),GOV,98,HEALTH,95,VERY LARGE,80
IT_41,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10063782.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10063782.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10063782,Article 5(1)(f) GDPRArticle 25 GDPRArticle 33(3) GDPR,"25,33",Investigation,Violation Found,17/08/2023,04/07/2024,,"900,000 EUR",900000,EUR,Postel S.p.A.,10063782,n/a,Italian,Garante per la protezione dei dati personali (in IT),PRIVATE,98,H53.20 (Other postal and courier activities),70,LARGE,75
IT_42,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10064226.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10064226.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10064226,Article 4(7) GDPRArticle 5(1)(a) GDPRArticle 6(1) GDPRArticle 12(1) GDPRArticle 15 GDPRArticle 26 GDPR,"4,6,12,15,26",Complaint,Partly Upheld,,12/09/2024,,"8,000 EUR",8000,EUR,Ordine delle Professioni Infermieristiche di Udine,10064226,n/a,Italian,Garante per la protezione dei dati personali (in IT),OTHER,98,PROFESSIONAL REGULATOR,90,SMALL OR MEDIUM,70
IT_43,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10065894.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10065894.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10065894,Article 2(2) GDPRArticle 5(1)(a) GDPRArticle 6 GDPRArticle 57(1)(a) GDPRArticle 58(2)(d) GDPRArticle 157Article 166,"2,6",Complaint,Upheld,13/07/2022,,12/09/2024,400 EUR,400,EUR,n/a,10065894,n/a,Italian,Garante per a protezione dei dati personali (in IT),,,,,,
IT_44,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10066215.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10066215.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10066215,Article 12(3) GDPRArticle 12(4) GDPRArticle 17(3)(b) GDPRArt. 223(2) D. Lgs. 285/1992,12,Complaint,Upheld,,26/09/2024,,n/a,,,Ministero dell'Interno,10066215,n/a,Italian,Garante per la protezione dei dati personali (in IT),GOV,99,O84.24 (Public order and safety activities),95,VERY LARGE,90
IT_45,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10066287.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10066287.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10066287,Article 12(3) GDPRArticle 15 GDPR,"12,15",Complaint,Upheld,,26/09/2024,,"4,000 EUR",4000,EUR,CI & DI Food s.r.l.,10066287,n/a,Italian,Garante per la protezione dei dati personali (in IT),PRIVATE,95,G47.11 (Retail sale in non-specialised stores with food),55,SMALL OR MEDIUM,65
IT_46,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10068155.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10068155.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10068155,Article 4(15) GDPRArticle 5 GDPRArticle 6 GDPRArticle 9(2)(b) GDPRArt. 2-ter D.Lgs. 196/2003,"4,5,6",Complaint,Upheld,,,26/09/2024,"10,000 EUR",10000,EUR,Comune di Verona,10068155,n/a,Italian,Garante per la protezione dei dati personali (in IT),MUNICIPALITY,99,LOCAL GOVERNMENT,95,VERY LARGE,80
IT_47,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10070252.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10070252.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10070252,Article 4(12) GDPRArticle 56(1) GDPRArticle 60(4) GDPRArticle 60(6) GDPR,"4,56,60",Complaint,Partly Upheld,,17/07/2024,,n/a,,,Avis Budget Italia S.p.A.,10070252,n/a,Italian,Garante per la protezione dei dati personali (in IT),PRIVATE,99,N77.11 (Renting and leasing of cars and light motor vehicles),95,VERY LARGE,85
IT_48,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10070330.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10070330.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10070330,Article 15 GDPRArt. 157 D.Lgs. 196/2003,15,Complaint,Upheld,,17/07/2024,,"4,000 EUR",4000,EUR,n/a,10070330,n/a,Italian,Garante per la protezione dei dati personali (in IT),,,,,,
IT_49,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10070348.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10070348.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10070348,Article 5 GDPRArticle 5(1)(a) GDPRArticle 6(1)(c) GDPRArticle 9(2)(b) GDPRArticle 12(7) GDPRArticle 13 GDPREDPB Guidelines 3/2019Codice in materia di protezione dei dati personaliLegge 300/1970 - Statuto dei LavoratoriProvvedimento in materia di videosorveglianza,"5,12,13",Investigation,Violation Found,,,17/07/2024,"5,000 EUR",5000,EUR,Mark s.r.l.s.,10070348,n/a,Italian,Garante per la protezione dei dati personali (in IT),PRIVATE,95,,40,SMALL,70
IT_50,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10070521.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10070521.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10070521,Article 34(1) GDPRArticle 34(3)(c) GDPRArticle 58(2)(e) GDPRArt. 615-ter c.p.,34,Investigation,Other Outcome,17/07/2024,02/11/2024,05/11/2024,n/a,,,Intesa Sanpaolo S.p.A.,10070521,n/a,Italian,Garante per la protezione dei dati personali (in IT),PRIVATE,99,K64.19 (Other monetary intermediation),95,VERY LARGE,95
IT_51,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10072031.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10072031.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10072031,Article 5(1)(a) GDPRArticle 12(1) GDPRArticle 12(2) GDPRArticle 13 GDPRArticle 14 GDPR,"12,13,14",Investigation,Violation Found,29/12/2023,26/09/2024,26/09/2024,n/a,,,Telerama News,10072031,n/a,Italian,Garante (in IT),PRIVATE,90,J60.20 (Television programming and broadcasting activities),75,SMALL OR MEDIUM,70
IT_52,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10072622.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10072622.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10072622,"Article 5 GDPRArticle 6 GDPRArticle 7 GDPRArticle 12 GDPRArticle 13 GDPRArticle 14 GDPRArticle 15 GDPRArticle 21 GDPRArticle 58 GDPRArticle 130, Italian Data Protection CodeArticle 157, Italian Data Protection Code","5,6,7,12,13,14,15,21,58",Investigation,Violation Found,18/08/2023,26/09/2024,26/09/2024,n/a,,,n/a,10072622,n/a,Italian,Garante (in IT),,,,,,
IT_53,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10073751.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10073751.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10073751,Article 5(1)(b) GDPRArticle 6(1)(c) GDPRArticle 9(1) GDPRArt. 14 d.lgs. 33/2013Art. 23 d.lgs. 33/2013Art.124 d.lgs. 267/2020,9,Complaint,Upheld,,17/10/2024,,"8,000 EUR",8000,EUR,Comune di Offanengo,10073751,n/a,Italian,Garante per la protezione dei dati personali (in IT),MUNICIPALITY,99,LOCAL GOVERNMENT,95,SMALL OR MEDIUM,85
IT_54,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10074601.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10074601.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10074601,Article 5(1)(c) GDPRArticle 5(1)(d) GDPRArticle 5(1)(a) GDPRArticle 6 GDPRArticle 9(2)(b) GDPRArticle 13 GDPRArticle 14 GDPRArticle 22(3) GDPRArticle 25 GDPRArticle 28 GDPRArticle 32 GDPRArticle 35 GDPRArticle 88 GDPR,"6,13,14,22,25,28,32,35,88",Investigation,Violation Found,,13/11/2024,,"5,000,000 EUR",5000000,EUR,Foodinho,10074601,n/a,Italian,Garante per la Protezione dei Dati Personali (in IT),PRIVATE,95,H53.20 (Other postal and courier activities),80,LARGE,70
IT_55,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10076481.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10076481.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10076481,Article 5(1)(a) GDPRArticle 6(1) GDPRArticle 8(1) GDPRArt. 2-quinquies D.lgs. 196/2003Art. 320 c.c.,"6,8",Complaint,Upheld,07/03/2024,13/11/2024,,n/a,,,n/a,10076481,n/a,Italian,Garante per la protezione dei dati personali (in IT),,,,,,
IT_56,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10077129.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10077129.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10077129,Article 6(1)(f) GDPRArticle 9(1) GDPRArticle 9(2) GDPRArticle 10 GDPRArticle 13 GDPRArticle 14 GDPRArticle 58(1)(a) GDPR,"9,10,13,14",Investigation,Violation Found,,,27/11/2024,n/a,,,GediOpenAI,10077129,n/a,Italian,Garante (in IT),PRIVATE,60,MEDIA AND AI,50,VERY LARGE,60
IT_57,MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10079346.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10079346.md,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10079346,Article 5(1)(c) GDPRArticle 5(1)(f) GDPRArticle 25 GDPRArticle 32 GDPRArticle 157 Italian Privacy CodeArticle 166 Italian Privacy CodeArticle 22(11) Legislative decree of 10 August 2018,"25,32",Complaint,Upheld,,,,"17,000 EUR",17000,EUR,AST Ascoli Piceno,10079346,n/a,Italian,Garante (in IT),GOV,98,HEALTH,95,VERY LARGE,80
